Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-09-07,US,United States of America,AMRO,45350,6189488,878,187541
2020-09-08,US,United States of America,AMRO,33486,6222974,462,188003
2020-09-09,US,United States of America,AMRO,26015,6248989,169,188172
2020-09-10,US,United States of America,AMRO,23204,6272193,436,188608
2020-09-11,US,United States of America,AMRO,31988,6304181,1101,189709
2020-09-12,US,United States of America,AMRO,37128,6341309,1078,190787
2020-09-13,US,United States of America,AMRO,45523,6386832,1022,191809
2020-09-14,US,United States of America,AMRO,40126,6426958,803,192612
2020-09-15,US,United States of America,AMRO,35177,6462135,507,193119
2020-09-16,US,United States of America,AMRO,34111,6496246,375,193494
2020-09-17,US,United States of America,AMRO,34078,6530324,940,194434
2020-09-18,US,United States of America,AMRO,40795,6571119,1204,195638
2020-09-19,US,United States of America,AMRO,42618,6613737,827,196465
2020-09-20,US,United States of America,AMRO,48266,6662003,977,197442
2020-09-21,US,United States of America,AMRO,41695,6703698,652,198094
2020-09-22,US,United States of America,AMRO,36766,6740464,269,198363
2020-09-23,US,United States of America,AMRO,39145,6779609,430,198793
2020-09-24,US,United States of America,AMRO,49176,6828785,807,199600
2020-09-25,US,United States of America,AMRO,40043,6868828,1125,200725
2020-09-26,US,United States of America,AMRO,41254,6910082,909,201634
2020-09-27,US,United States of America,AMRO,50070,6960152,844,202478
2020-09-28,US,United States of America,AMRO,48958,7009110,851,203329
2020-09-29,US,United States of America,AMRO,35217,7044327,291,203620
2020-09-30,US,United States of America,AMRO,32688,7077015,255,203875
2020-10-01,US,United States of America,AMRO,38476,7115491,767,204642
2020-10-02,US,United States of America,AMRO,44985,7160476,1024,205666
2020-10-03,US,United States of America,AMRO,46293,7206769,892,206558
2020-10-04,US,United States of America,AMRO,49465,7256234,808,207366
2020-10-05,US,United States of America,AMRO,49036,7305270,698,208064
2020-10-06,US,United States of America,AMRO,36136,7341406,369,208433
2020-10-07,US,United States of America,AMRO,38920,7380326,354,208787
2020-10-08,US,United States of America,AMRO,38904,7419230,663,209450
2020-10-09,US,United States of America,AMRO,52458,7471688,888,210338
2020-10-10,US,United States of America,AMRO,54232,7525920,973,211311
2020-10-11,US,United States of America,AMRO,57828,7583748,918,212229
2020-10-12,US,United States of America,AMRO,53055,7636803,575,212804
2020-10-13,US,United States of America,AMRO,45325,7682128,487,213291
2020-10-14,US,United States of America,AMRO,46308,7728436,335,213626
2020-10-15,US,United States of America,AMRO,46309,7774745,743,214369
2020-10-16,US,United States of America,AMRO,59106,7833851,830,215199
2020-10-17,US,United States of America,AMRO,63044,7896895,874,216073
2020-10-18,US,United States of America,AMRO,69834,7966729,998,217071
2020-10-19,US,United States of America,AMRO,52508,8019237,588,217659
2020-10-20,US,United States of America,AMRO,46378,8065615,472,218131
2020-10-21,US,United States of America,AMRO,59018,8124633,510,218641
2020-10-22,US,United States of America,AMRO,60155,8184788,856,219497
2020-10-23,US,United States of America,AMRO,63361,8248149,1066,220563
2020-10-24,US,United States of America,AMRO,72342,8320491,1001,221564
2020-10-25,US,United States of America,AMRO,82630,8403121,943,222507
2020-10-26,US,United States of America,AMRO,82626,8485747,821,223328
2020-10-27,US,United States of America,AMRO,62364,8548111,371,223699
2020-10-28,US,United States of America,AMRO,63145,8611256,479,224178
2020-10-29,US,United States of America,AMRO,72042,8683298,895,225073
2020-10-30,US,United States of America,AMRO,80384,8763682,1059,226132
2020-10-31,US,United States of America,AMRO,89048,8852730,1046,227178
2020-11-01,US,United States of America,AMRO,99356,8952086,1007,228185
2020-11-02,US,United States of America,AMRO,80379,9032465,813,228998
2020-11-03,US,United States of America,AMRO,75888,9108353,444,229442
2020-11-04,US,United States of America,AMRO,85412,9193765,506,229948
2020-11-05,US,United States of America,AMRO,88163,9281928,1086,231034
2020-11-06,US,United States of America,AMRO,106050,9387978,1132,232166
2020-11-07,US,United States of America,AMRO,116780,9504758,1126,233292
2020-11-08,US,United States of America,AMRO,131821,9636579,1208,234500
2020-11-09,US,United States of America,AMRO,127151,9763730,1062,235562
2020-11-10,US,United States of America,AMRO,104659,9868389,480,236042
2020-11-11,US,United States of America,AMRO,122231,9990620,685,236727
2020-11-12,US,United States of America,AMRO,133935,10124555,1846,238573
2020-11-13,US,United States of America,AMRO,142076,10266631,1471,240044
2020-11-14,US,United States of America,AMRO,193734,10460365,1142,241186
2020-11-15,US,United States of America,AMRO,181066,10641431,1356,242542
2020-11-16,US,United States of America,AMRO,155001,10796432,1216,243758
2020-11-17,US,United States of America,AMRO,137486,10933918,653,244411
2020-11-18,US,United States of America,AMRO,151266,11085184,753,245164
2020-11-19,US,United States of America,AMRO,164044,11249228,1582,246746
2020-11-20,US,United States of America,AMRO,164560,11413788,1825,248571
2020-11-21,US,United States of America,AMRO,184191,11597979,2036,250607
2020-11-22,US,United States of America,AMRO,191033,11789012,1853,252460
2020-11-23,US,United States of America,AMRO,183544,11972556,1471,253931
2020-11-24,US,United States of America,AMRO,147098,12119654,867,254798
2020-11-25,US,United States of America,AMRO,157180,12276834,1052,255850
2020-11-26,US,United States of America,AMRO,165091,12441925,1975,257825
2020-11-27,US,United States of America,AMRO,180850,12622775,2248,260073
2020-11-28,US,United States of America,AMRO,141222,12763997,1387,261460
2020-11-29,US,United States of America,AMRO,175669,12939666,1276,262736
2020-11-30,US,United States of America,AMRO,143211,13082877,1210,263946
2020-12-01,US,United States of America,AMRO,151674,13234551,862,264808
2020-12-02,US,United States of America,AMRO,151204,13385755,1235,266043
2020-12-03,US,United States of America,AMRO,177976,13563731,2439,268482
2020-12-04,US,United States of America,AMRO,195769,13759500,2751,271233
2020-12-05,US,United States of America,AMRO,218671,13978171,2844,274077
2020-12-06,US,United States of America,AMRO,213127,14191298,2426,276503
2020-12-07,US,United States of America,AMRO,205837,14397135,2303,278806
2020-12-08,US,United States of America,AMRO,173388,14570523,1107,279913
2020-12-09,US,United States of America,AMRO,185473,14755996,1529,281442
2020-12-10,US,United States of America,AMRO,216360,14972356,2552,283994
2020-12-11,US,United States of America,AMRO,230852,15203208,3390,287384
2020-12-12,US,United States of America,AMRO,201681,15404889,2749,290133
2020-12-13,US,United States of America,AMRO,243209,15648098,2996,293129
2020-12-14,US,United States of America,AMRO,212577,15860675,2277,295406
2020-12-15,US,United States of America,AMRO,180420,16041095,1434,296840
2020-12-16,US,United States of America,AMRO,204281,16245376,1754,298594
2020-12-17,US,United States of America,AMRO,201468,16446844,2942,301536
2020-12-18,US,United States of America,AMRO,235805,16682649,3424,304960
2020-12-19,US,United States of America,AMRO,229915,16912564,3443,308403
2020-12-20,US,United States of America,AMRO,402270,17314834,2747,311150
2020-12-21,US,United States of America,AMRO,200257,17515091,2598,313748
2020-12-22,US,United States of America,AMRO,197199,17712290,1570,315318
2020-12-23,US,United States of America,AMRO,182819,17895109,1714,317032
2020-12-24,US,United States of America,AMRO,195151,18090260,3148,320180
2020-12-25,US,United States of America,AMRO,221145,18311405,3347,323527
2020-12-26,US,United States of America,AMRO,192095,18503500,2795,326322
2020-12-27,US,United States of America,AMRO,145489,18648989,1692,328014
2020-12-28,US,United States of America,AMRO,178311,18827300,1296,329310
2020-12-29,US,United States of America,AMRO,145513,18972813,1334,330644
2020-12-30,US,United States of America,AMRO,174814,19147627,1779,332423
2020-12-31,US,United States of America,AMRO,199163,19346790,3366,335789
2021-01-01,US,United States of America,AMRO,231427,19578217,3761,339550
2021-01-02,US,United States of America,AMRO,228437,19806654,3280,342830
2021-01-03,US,United States of America,AMRO,167759,19974413,2423,345253
2021-01-04,US,United States of America,AMRO,284312,20258725,2302,347555
2021-01-05,US,United States of America,AMRO,211444,20470169,1407,348962
2021-01-06,US,United States of America,AMRO,173375,20643544,1791,350753
2021-01-07,US,United States of America,AMRO,227369,20870913,3533,354286
2021-01-08,US,United States of America,AMRO,299562,21170475,3825,358111
2021-01-09,US,United States of America,AMRO,277195,21447670,4176,362287
2021-01-10,US,United States of America,AMRO,313516,21761186,3599,365886
2021-01-11,US,United States of America,AMRO,248089,22009275,3418,369304
2021-01-12,US,United States of America,AMRO,220528,22229803,2071,371375
2021-01-13,US,United States of America,AMRO,198788,22428591,1954,373329
2021-01-14,US,United States of America,AMRO,217166,22645757,4117,377446
2021-01-15,US,United States of America,AMRO,225573,22871330,4076,381522
2021-01-16,US,United States of America,AMRO,226608,23097938,3891,385413
2021-01-17,US,United States of America,AMRO,246485,23344423,3671,389084
2021-01-18,US,United States of America,AMRO,212253,23556676,3557,392641
2021-01-19,US,United States of America,AMRO,185383,23742059,1947,394588
2021-01-20,US,United States of America,AMRO,142240,23884299,1567,396155
2021-01-21,US,United States of America,AMRO,152937,24037236,2280,398435
2021-01-22,US,United States of America,AMRO,187919,24225155,4368,402803
2021-01-23,US,United States of America,AMRO,188176,24413331,3979,406782
2021-01-24,US,United States of America,AMRO,190994,24604325,3885,410667
2021-01-25,US,United States of America,AMRO,170883,24775208,3416,414083
2021-01-26,US,United States of America,AMRO,141691,24916899,1921,416004
2021-01-27,US,United States of America,AMRO,133409,25050308,1885,417889
2021-01-28,US,United States of America,AMRO,148533,25198841,3681,421570
2021-01-29,US,United States of America,AMRO,155203,25354044,4100,425670
2021-01-30,US,United States of America,AMRO,158153,25512197,3982,429652
2021-01-31,US,United States of America,AMRO,164415,25676612,3521,433173
2021-02-01,US,United States of America,AMRO,141327,25817939,2878,436051
2021-02-02,US,United States of America,AMRO,112129,25930068,1913,437964
2021-02-03,US,United States of America,AMRO,125444,26055512,1866,439830
2021-02-04,US,United States of America,AMRO,116762,26172274,3426,443256
2021-02-05,US,United States of America,AMRO,120876,26293150,3748,447004
2021-02-06,US,United States of America,AMRO,124866,26418016,5182,452186
2021-02-07,US,United States of America,AMRO,129961,26547977,3549,455735
2021-02-08,US,United States of America,AMRO,106988,26654965,2809,458544
2021-02-09,US,United States of America,AMRO,91412,26746377,1449,459993
2021-02-10,US,United States of America,AMRO,86449,26832826,1617,461610
2021-02-11,US,United States of America,AMRO,90930,26923756,2802,464412
2021-02-12,US,United States of America,AMRO,97134,27020890,3639,468051
2021-02-13,US,United States of America,AMRO,101693,27122583,3584,471635
2021-02-14,US,United States of America,AMRO,99024,27221607,5512,477147
2021-02-15,US,United States of America,AMRO,87896,27309503,3317,480464
2021-02-16,US,United States of America,AMRO,28313,27337816,1312,481776
2021-02-17,US,United States of America,AMRO,95902,27433718,1213,482989
2021-02-18,US,United States of America,AMRO,57856,27491574,1390,484379
2021-02-19,US,United States of America,AMRO,69069,27560643,2591,486970
2021-02-20,US,United States of America,AMRO,68191,27628834,2381,489351
2021-02-21,US,United States of America,AMRO,73240,27702074,2543,491894
2021-02-22,US,United States of America,AMRO,70973,27773047,2082,493976
2021-02-23,US,United States of America,AMRO,55323,27828370,1299,495275
2021-02-24,US,United States of America,AMRO,55190,27883560,1575,496850
2021-02-25,US,United States of America,AMRO,71778,27955338,2167,499017
2021-02-26,US,United States of America,AMRO,73477,28028815,2397,501414
2021-02-27,US,United States of America,AMRO,73351,28102166,3240,504654
2021-02-28,US,United States of America,AMRO,72812,28174978,2106,506760
2021-03-01,US,United States of America,AMRO,69613,28244591,1824,508584
2021-03-02,US,United States of America,AMRO,50218,28294809,1061,509645
2021-03-03,US,United States of America,AMRO,50776,28345585,1279,510924
2021-03-04,US,United States of America,AMRO,57831,28403416,2147,513071
2021-03-05,US,United States of America,AMRO,65320,28468736,1942,515013
2021-03-06,US,United States of America,AMRO,66262,28534998,1835,516848
2021-03-07,US,United States of America,AMRO,67213,28602211,2227,519075
2021-03-08,US,United States of America,AMRO,57269,28659480,1676,520751
2021-03-09,US,United States of America,AMRO,41486,28700966,874,521625
2021-03-10,US,United States of America,AMRO,126229,28827195,859,522484
2021-03-11,US,United States of America,AMRO,52732,28879927,1502,523986
2021-03-12,US,United States of America,AMRO,60322,28940249,1512,525498
2021-03-13,US,United States of America,AMRO,60312,29000561,1570,527068
2021-03-14,US,United States of America,AMRO,62840,29063401,1388,528456
2021-03-15,US,United States of America,AMRO,52261,29115662,1073,529529
2021-03-16,US,United States of America,AMRO,40230,29155892,585,530114
2021-03-17,US,United States of America,AMRO,52998,29208890,748,530862
2021-03-18,US,United States of America,AMRO,51882,29260772,993,531855
2021-03-19,US,United States of America,AMRO,56790,29317562,1116,532971
2021-03-20,US,United States of America,AMRO,58826,29376388,1513,534484
2021-03-21,US,United States of America,AMRO,61382,29437770,1524,536008
2021-03-22,US,United States of America,AMRO,60228,29497998,773,536781
2021-03-23,US,United States of America,AMRO,39165,29537163,479,537260
2021-03-24,US,United States of America,AMRO,57686,29594849,992,538252
2021-03-25,US,United States of America,AMRO,58755,29653604,775,539027
2021-03-26,US,United States of America,AMRO,65326,29718930,1293,540320
2021-03-27,US,United States of America,AMRO,69589,29788519,1403,541723
2021-03-28,US,United States of America,AMRO,71187,29859706,1280,543003
2021-03-29,US,United States of America,AMRO,61893,29921599,867,543870
2021-03-30,US,United States of America,AMRO,46865,29968464,560,544430
2021-03-31,US,United States of America,AMRO,64599,30033063,621,545051
2021-04-01,US,United States of America,AMRO,62713,30095776,838,545889
2021-04-02,US,United States of America,AMRO,68409,30164185,1055,546944
2021-04-03,US,United States of America,AMRO,74507,30238692,940,547884
2021-04-04,US,United States of America,AMRO,65770,30304462,2655,550539
2021-04-05,US,United States of America,AMRO,67554,30372016,852,551391
2021-04-06,US,United States of America,AMRO,41108,30413124,378,551769
2021-04-07,US,United States of America,AMRO,62750,30475874,356,552125
2021-04-08,US,United States of America,AMRO,65126,30541000,803,552928
2021-04-09,US,United States of America,AMRO,74849,30615849,873,553801
2021-04-10,US,United States of America,AMRO,76377,30692226,982,554783
2021-04-11,US,United States of America,AMRO,80631,30772857,929,555712
2021-04-12,US,United States of America,AMRO,67554,30840411,813,556525
2021-04-13,US,United States of America,AMRO,48354,30888765,328,556853
2021-04-14,US,United States of America,AMRO,62801,30951566,587,557440
2021-04-15,US,United States of America,AMRO,78134,31029700,798,558238
2021-04-16,US,United States of America,AMRO,73306,31103006,772,559010
2021-04-17,US,United States of America,AMRO,73932,31176938,937,559947
2021-04-18,US,United States of America,AMRO,73697,31250635,911,560858
2021-04-19,US,United States of America,AMRO,61306,31311941,758,561616
2021-04-20,US,United States of America,AMRO,38084,31350025,305,561921